Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Kahale Warring (19701017),Kahale Warring,19701017,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
TE,Tommy Hudson (19701018),Tommy Hudson,19701018,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,TEN,2.03
RB,Khari Blasingame (19701019),Khari Blasingame,19701019,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
WR,Mason Kinsey (19701020),Mason Kinsey,19701020,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
WR,Dez Fitzpatrick (19701021),Dez Fitzpatrick,19701021,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
WR,Racey McMath (19701022),Racey McMath,19701022,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
TE,Austin Fort (19701023),Austin Fort,19701023,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
RB,Antonio Williams (19701024),Antonio Williams,19701024,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
WR,Isaiah Hodgins (19701025),Isaiah Hodgins,19701025,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
TE,Quintin Morris (19701026),Quintin Morris,19701026,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
WR,Tanner Gentry (19701027),Tanner Gentry,19701027,CPT,300,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
RB,Darrynton Evans (19701057),Darrynton Evans,19701057,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
RB,Mekhi Sargent (19701058),Mekhi Sargent,19701058,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0.13
TE,Tommy Sweeney (19701059),Tommy Sweeney,19701059,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0.66
WR,Marquez Stevenson (19701060),Marquez Stevenson,19701060,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
TE,Geoff Swaim (19701061),Geoff Swaim,19701061,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,1.74
RB,Taiwan Jones (19701062),Taiwan Jones,19701062,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
RB,Christian Wade (19701063),Christian Wade,19701063,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
WR,Cameron Batson (19701064),Cameron Batson,19701064,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,3.67
RB,Matt Breida (19701065),Matt Breida,19701065,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0.2
RB,Tory Carter (19701066),Tory Carter,19701066,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
TE,Briley Moore-McKinney (19701067),Briley Moore-McKinney,19701067,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
RB,Reggie Gilliam (19701068),Reggie Gilliam,19701068,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0.42
WR,Jake Kumerow (19701069),Jake Kumerow,19701069,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
WR,Isaiah McKenzie (19701070),Isaiah McKenzie,19701070,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0.32
TE,Kahale Warring (19701071),Kahale Warring,19701071,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
TE,Tommy Hudson (19701072),Tommy Hudson,19701072,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,2.03
RB,Khari Blasingame (19701073),Khari Blasingame,19701073,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
WR,Mason Kinsey (19701074),Mason Kinsey,19701074,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
WR,Dez Fitzpatrick (19701075),Dez Fitzpatrick,19701075,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
WR,Racey McMath (19701076),Racey McMath,19701076,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
TE,Austin Fort (19701077),Austin Fort,19701077,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,TEN,0
RB,Antonio Williams (19701078),Antonio Williams,19701078,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
WR,Isaiah Hodgins (19701079),Isaiah Hodgins,19701079,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
TE,Quintin Morris (19701080),Quintin Morris,19701080,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
WR,Tanner Gentry (19701081),Tanner Gentry,19701081,FLEX,200,BUF@TEN 10/18/2021 08:15PM ET,BUF,0
